,pmid,author,year,title,journal,citedByNof1000
3179,9721919,Itzhak,1998,The role of neuronal nitric oxide synthase in cocaine-induced conditioned place preference.,Neuroreport,2.0
4288,23188793,Urs,2013,Deletion of GSK3β in D2R-expressing neurons reveals distinct roles for β-arrestin signaling in antipsychotic and lithium action.,Proceedings of the National Academy of Sciences of the United States of America,2.0
3181,8581469,Saulskaya,1996,Extracellular glutamate in the nucleus accumbens during a conditioned emotional response in the rat.,Brain research,2.0
3182,7820652,Hu,1995,Direct measurement of glutamate release in the brain using a dual enzyme-based electrochemical sensor.,Brain research,2.0
3183,1827915,Le Moine,1991,Phenotypical characterization of the rat striatal neurons expressing the D1 dopamine receptor gene.,Proceedings of the National Academy of Sciences of the United States of America,2.0
3184,25908669,Mai,2016,Dopamine D1/D2 Receptor Activity in the Nucleus Accumbens Core But Not in the Nucleus Accumbens Shell and Orbitofrontal Cortex Modulates Risk-Based Decision Making.,The international journal of neuropsychopharmacology,2.0
3172,20175220,Lin,2010,Nitric oxide signaling via cGMP-stimulated phosphodiesterase in striatal neurons.,"Synapse (New York, N.Y.)",2.0
3171,21792580,Sinha,2012,New findings on biological factors predicting addiction relapse vulnerability.,Current psychiatry reports,2.0
4283,28196854,Johnson,2018,Hypothalamic transcriptomic alterations in male and female California mice (<i>Peromyscus californicus</i>) developmentally exposed to bisphenol A or ethinyl estradiol.,Physiological reports,2.0
3170,27207718,Pati,2017,Alcohol consumption increases basal extracellular glutamate in the nucleus accumbens core of Sprague-Dawley rats without increasing spontaneous glutamate release.,The European journal of neuroscience,2.0
3169,30926546,Siemsen,2019,Effects of Methamphetamine Self-Administration and Extinction on Astrocyte Structure and Function in the Nucleus Accumbens Core.,Neuroscience,2.0
3167,2969467,Lévesque,1988,Rapid conversion of high into low striatal D2-dopamine receptor agonist binding states after an acute physiological dose of 17 beta-estradiol.,Neuroscience letters,2.0
4764,19202072,Kim,2009,Methylphenidate-induced dendritic spine formation and DeltaFosB expression in nucleus accumbens.,Proceedings of the National Academy of Sciences of the United States of America,2.0
3166,6472577,Dluzen,1984,Bimodal effect of progesterone on in vitro dopamine function of the rat corpus striatum.,Neuroendocrinology,2.0
3165,8180794,Bazzett,1994,Sex differences in the rapid and acute effects of estrogen on striatal D2 dopamine receptor binding.,Brain research,2.0
3164,9661256,Xiao,1998,Effects of estrogen agonists on amphetamine-stimulated striatal dopamine release.,"Synapse (New York, N.Y.)",2.0
4286,12926012,Härtig,2003,Complementary distribution of vesicular glutamate transporters 1 and 2 in the nucleus accumbens of rat: Relationship to calretinin-containing extrinsic innervation and calbindin-immunoreactive neurons.,The Journal of comparative neurology,2.0
3162,11275289,Jenkins,2001,Role of the striatum and nucleus accumbens in paced copulatory behavior in the female rat.,Behavioural brain research,2.0
3161,11932944,Creutz,2002,"Estrogen receptor-beta immunoreactivity in the midbrain of adult rats: regional, subregional, and cellular localization in the A10, A9, and A8 dopamine cell groups.",The Journal of comparative neurology,2.0
4765,19116830,Barron,2009,Adolescent and adult male spontaneous hyperactive rats (SHR) respond differently to acute and chronic methylphenidate (Ritalin).,The International journal of neuroscience,2.0
3159,16157227,Ridenour,2006,Factors associated with the transition from abuse to dependence among substance abusers: implications for a measure of addictive liability.,Drug and alcohol dependence,2.0
4766,17454243,Askenasy,2007,Methylphenidate (Ritalin): behavioral studies in the rat.,The International journal of neuroscience,2.0
4284,23736119,Bessa,2013,Stress-induced anhedonia is associated with hypertrophy of medium spiny neurons of the nucleus accumbens.,Translational psychiatry,2.0
3185,20130169,Miyoshi,2010,Genetic fate mapping reveals that the caudal ganglionic eminence produces a large and diverse population of superficial cortical interneurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
3186,19198605,Yin,2009,Dynamic reorganization of striatal circuits during the acquisition and consolidation of a skill.,Nature neuroscience,2.0
4298,23391758,Bass,2013,Terminal effects of optogenetic stimulation on dopamine dynamics in rat striatum.,Journal of neuroscience methods,2.0
3210,7545584,Ikemoto,1995,Neurochemical heterogeneity of the primate nucleus accumbens.,Experimental brain research,2.0
4761,22040860,Claussen,2012,Acute and chronic methylphenidate modulates the neuronal activity of the caudate nucleus recorded from freely behaving rats.,Brain research bulletin,2.0
3205,12808459,Behrens,2003,Non-invasive mapping of connections between human thalamus and cortex using diffusion imaging.,Nature neuroscience,2.0
4272,23223451,Hackett,2013,Germline DNA demethylation dynamics and imprint erasure through 5-hydroxymethylcytosine.,"Science (New York, N.Y.)",2.0
3206,12423763,Van der Werf,2003,The intralaminar and midline nuclei of the thalamus. Anatomical and functional evidence for participation in processes of arousal and awareness.,Brain research. Brain research reviews,2.0
3207,11395019,Breiter,2001,Functional imaging of neural responses to expectancy and experience of monetary gains and losses.,Neuron,2.0
3209,10341265,Maurice,1999,Relationships between the prefrontal cortex and the basal ganglia in the rat: physiology of the cortico-nigral circuits.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
4760,22248440,Chong,2012,Nucleus accumbens neuronal activity in freely behaving rats is modulated following acute and chronic methylphenidate administration.,Brain research bulletin,2.0
3187,17670959,Balleine,2007,The role of the dorsal striatum in reward and decision-making.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
4759,22306242,Salek,2012,Acute and chronic methylphenidate alters prefrontal cortex neuronal activity recorded from freely behaving rats.,European journal of pharmacology,2.0
4295,6857277,Ewing,1983,Direct in vivo monitoring of dopamine released from two striatal compartments in the rat.,"Science (New York, N.Y.)",2.0
3215,19279569,Simmons,2009,Role of mu- and delta-opioid receptors in the nucleus accumbens in cocaine-seeking behavior.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,2.0
4297,24267654,Stamatakis,2014,A unique population of ventral tegmental area neurons inhibits the lateral habenula to promote reward.,Neuron,2.0
3216,19056182,Veenema,2009,"Maternal separation enhances offensive play-fighting, basal corticosterone and hypothalamic vasopressin mRNA expression in juvenile male rats.",Psychoneuroendocrinology,2.0
4269,25486626,Walker,2015,Regulation of chromatin states by drugs of abuse.,Current opinion in neurobiology,2.0
3203,14643469,Coutureau,2004,Inactivation of the infralimbic prefrontal cortex reinstates goal-directed responding in overtrained rats.,Behavioural brain research,2.0
3202,15082319,Cardinal,2004,Neural and psychological mechanisms underlying appetitive learning: links to drug addiction.,Current opinion in neurobiology,2.0
3200,16549786,Lodge,2006,The laterodorsal tegmentum is essential for burst firing of ventral tegmental area dopamine neurons.,Proceedings of the National Academy of Sciences of the United States of America,2.0
3199,17072592,Bassareo,2007,Differential impact of pavlovian drug conditioned stimuli on in vivo dopamine transmission in the rat accumbens shell and core and in the prefrontal cortex.,Psychopharmacology,2.0
4273,20890295,Elliott,2010,Resilience to social stress coincides with functional DNA methylation of the Crf gene in adult mice.,Nature neuroscience,2.0
4274,19898468,Murgatroyd,2009,Dynamic DNA methylation programs persistent adverse effects of early-life stress.,Nature neuroscience,2.0
4762,20470871,Podet,2010,Nucleus accumbens lesions modulate the effects of methylphenidate.,Brain research bulletin,2.0
3193,23044000,Blomstedt,2014,Deep brain stimulation in the treatment of obsessive-compulsive disorder.,World neurosurgery,2.0
3192,24130514,Baudonnat,2014,"Heads for learning, tails for memory: reward, reinforcement and a role of dopamine in determining behavioral relevance across multiple timescales.",Frontiers in neuroscience,2.0
4275,19596360,Rodríguez-Borrero,2010,Arginine vasopressin gene expression changes within the nucleus accumbens during environment elicited cocaine-conditioned response in rats.,Neuropharmacology,2.0
4276,17706801,Kim,2008,CART peptide 55-102 microinjected into the nucleus accumbens inhibits the expression of behavioral sensitization by amphetamine.,Regulatory peptides,2.0
4277,23147384,Ziauddeen,2014,Effects of the mu-opioid receptor antagonist GSK1521498 on hedonic and consummatory eating behaviour: a proof of mechanism study in binge-eating obese subjects.,Molecular psychiatry,2.0
3190,24979343,Murty,2015,Resting state networks distinguish human ventral tegmental area from substantia nigra.,NeuroImage,2.0
3189,26048642,Reed,2016,Assessing contributions of nucleus accumbens shell subregions to reward-seeking behavior.,Drug and alcohol dependence,2.0
3188,16619660,Rauch,2006,A functional neuroimaging investigation of deep brain stimulation in patients with obsessive-compulsive disorder.,Journal of neurosurgery,2.0
4291,24345425,Giannotti,2015,Prolonged abstinence from developmental cocaine exposure dysregulates BDNF and its signaling network in the medial prefrontal cortex of adult rats.,The international journal of neuropsychopharmacology,2.0
4763,20362034,Yang,2010,Psychostimulants given in adolescence modulate their effects in adulthood using the open field and the wheel-running assays.,Brain research bulletin,2.0
4737,10958890,Rasmussen,2000,Muscarinic receptor agonists decrease cocaine self-administration rates in drug-naive mice.,European journal of pharmacology,2.0
4736,15183518,Hemby,2004,Morphine-induced alterations in gene expression of calbindin immunopositive neurons in nucleus accumbens shell and core.,Neuroscience,2.0
4255,26319160,Schindler,2017,"Reinforcing and neurochemical effects of the ""bath salts"" constituents 3,4-methylenedioxypyrovalerone (MDPV) and 3,4-methylenedioxy-N-methylcathinone (methylone) in male rats.",Psychopharmacology,2.0
4713,7675970,Shaham,1995,"Stress reinstates heroin-seeking in drug-free animals: an effect mimicking heroin, not withdrawal.",Psychopharmacology,2.0
3342,26873080,Krasnova,2017,Methamphetamine addiction: involvement of CREB and neuroinflammatory signaling pathways.,Psychopharmacology,2.0
4225,16165291,Nicola,2006,Nucleus accumbens dopamine release is necessary and sufficient to promote the behavioral response to reward-predictive cues.,Neuroscience,2.0
3343,25884509,Zhu,2016,Methamphetamine induces alterations in the long non-coding RNAs expression profile in the nucleus accumbens of the mouse.,BMC neuroscience,2.0
4715,17183538,Parsons,2007,Functional and anatomical connection between the paraventricular nucleus of the thalamus and dopamine fibers of the nucleus accumbens.,The Journal of comparative neurology,2.0
4714,18791704,Griffin,2009,Repeated cycles of chronic intermittent ethanol exposure in mice increases voluntary ethanol drinking and ethanol concentrations in the nucleus accumbens.,Psychopharmacology,2.0
4329,23345217,Loweth,2013,Persistent reversal of enhanced amphetamine intake by transient CaMKII inhibition.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
4330,17289142,Jaworski,2007,Intra-VTA CART 55-102 reduces the locomotor effect of systemic cocaine in rats: an isobolographic analysis.,Neuropeptides,2.0
4332,16099925,Couceyro,2006,Cocaine- and amphetamine-regulated transcript (CART) peptides modulate the locomotor and motivational properties of psychostimulants.,The Journal of pharmacology and experimental therapeutics,2.0
4712,10550486,Evenden,1999,Varieties of impulsivity.,Psychopharmacology,2.0
3347,21215366,Luco,2011,Epigenetics in alternative pre-mRNA splicing.,Cell,2.0
4224,19433009,Nathan,2011,From taste hedonics to motivational drive: central μ-opioid receptors and binge-eating behaviour.,The international journal of neuropsychopharmacology,2.0
4223,23245760,Cambridge,2013,Neural and behavioral effects of a novel mu opioid receptor antagonist in binge-eating obese people.,Biological psychiatry,2.0
3348,21150907,Moyer,2011,Intronic polymorphisms affecting alternative splicing of human dopamine D2 receptor are associated with cocaine abuse.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,2.0
3349,21128942,Michelhaugh,2011,Mining Affymetrix microarray data for long non-coding RNAs: altered expression in the nucleus accumbens of heroin abusers.,Journal of neurochemistry,2.0
4328,24953280,Peng,2015,Microinjection of CART (cocaine- and amphetamine-regulated transcript) peptide into the nucleus accumbens inhibits the cocaine-induced upregulation of dopamine receptors and locomotor sensitization.,Neurochemistry international,2.0
3340,20187946,Freeman,2010,Gene expression changes in the medial prefrontal cortex and nucleus accumbens following abstinence from cocaine self-administration.,BMC neuroscience,2.0
4716,15691715,Klugmann,2005,AAV-mediated hippocampal expression of short and long Homer 1 proteins differentially affect cognition and seizure activity in adult rats.,Molecular and cellular neurosciences,2.0
3339,25363133,Gancarz-Kausch,2015,Prolonged withdrawal following cocaine self-administration increases resistance to punishment in a cocaine binge.,Scientific reports,2.0
4717,1403102,Brown,1992,Evidence for conditional neuronal activation following exposure to a cocaine-paired environment: role of forebrain limbic structures.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
4226,15752577,Bodnar,2005,Reciprocal opioid-opioid interactions between the ventral tegmental area and nucleus accumbens regions in mediating mu agonist-induced feeding in rats.,Peptides,2.0
4718,20953289,Bertran-Gonzalez,2011,What is the Degree of Segregation between Striatonigral and Striatopallidal Projections?,Frontiers in neuroanatomy,2.0
4227,12521926,Bello,2003,Restricted feeding with scheduled sucrose access results in an upregulation of the rat dopamine transporter.,"American journal of physiology. Regulatory, integrative and comparative physiology",2.0
3337,27053203,Sun,2016,BAZ1B in Nucleus Accumbens Regulates Reward-Related Behaviors in Response to Distinct Emotional Stimuli.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
3336,2308954,Herkenham,1990,Cannabinoid receptor localization in brain.,Proceedings of the National Academy of Sciences of the United States of America,2.0
4172,21917801,Luo,2011,Acute cocaine induces fast activation of D1 receptor and progressive deactivation of D2 receptor striatal neurons: in vivo optical microprobe [Ca2+]i imaging.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
3334,3304536,Kawaguchi,1987,Fast spiking cells in rat hippocampus (CA1 region) contain the calcium-binding protein parvalbumin.,Brain research,2.0
4229,9802826,Aberman,1999,Effects of dopamine antagonists and accumbens dopamine depletions on time-constrained progressive-ratio performance.,"Pharmacology, biochemistry, and behavior",2.0
4719,20864528,Perreault,2011,The dopamine D1-D2 receptor heteromer localizes in dynorphin/enkephalin neurons: increased high affinity state following amphetamine and in schizophrenia.,The Journal of biological chemistry,2.0
4327,11929936,Bracci,2002,Dopamine excites fast-spiking interneurons in the striatum.,Journal of neurophysiology,2.0
3332,11279497,Wilson,2002,Endogenous cannabinoids mediate retrograde signalling at hippocampal synapses.,Nature,2.0
4720,14687557,Jensen,2004,Direct activation of the ventral striatum in anticipation of aversive stimuli.,Neuron,2.0
4331,16458333,Hunter,2006,Regulation of CART mRNA in the rat nucleus accumbens via D3 dopamine receptors.,Neuropharmacology,2.0
4333,12117574,Carelli,2002,Nucleus accumbens cell firing during goal-directed behaviors for cocaine vs. 'natural' reinforcement.,Physiology & behavior,2.0
3270,1480349,Willner,1993,Chronic mild stress-induced anhedonia: a realistic animal model of depression.,Neuroscience and biobehavioral reviews,2.0
4219,23770258,Skibicka,2014,Divergent circuitry underlying food reward and intake effects of ghrelin: dopaminergic VTA-accumbens projection mediates ghrelin's effect on food reward but not food intake.,Neuropharmacology,2.0
4706,4705973,Allen,1973,Effects of caudate lesions on signaled and nonsignaled Sidman avoidance in the rat.,Behavioral biology,2.0
4339,16697125,Lominac,2007,Behavioral and neurochemical interactions between Group 1 mGluR antagonists and ethanol: potential insight into their anti-addictive properties.,Drug and alcohol dependence,2.0
3363,7515946,Takahashi,1994,Localization and developmental changes of tau protein kinase I/glycogen synthase kinase-3 beta in rat brain.,Journal of neurochemistry,2.0
3364,22675669,Pierce,2013,"Rational development of addiction pharmacotherapies: successes, failures, and prospects.",Cold Spring Harbor perspectives in medicine,2.0
3365,22011680,Kenny,2011,Common cellular and molecular mechanisms in obesity and drug addiction.,Nature reviews. Neuroscience,2.0
4340,10936169,Cartmell,2000,Regulation of neurotransmitter release by metabotropic glutamate receptors.,Journal of neurochemistry,2.0
4705,5654679,Kirkby,1968,Avoidance and escape behavior following striatal lesions in the rat.,Experimental neurology,2.0
4710,18472170,Bezzina,2008,Effect of disconnecting the orbital prefrontal cortex from the nucleus accumbens core on inter-temporal choice behaviour: a quantitative analysis.,Behavioural brain research,2.0
3366,19836414,Narayanan,2010,"Metabolic hormones, dopamine circuits, and feeding.",Frontiers in neuroendocrinology,2.0
4704,18272211,Dalley,2008,Neurobehavioral mechanisms of impulsivity: fronto-striatal systems and functional neurochemistry.,"Pharmacology, biochemistry, and behavior",2.0
4341,9130679,Vinson,1997,Effect of neostigmine on concentration and extraction fraction of acetylcholine using quantitative microdialysis.,Journal of neuroscience methods,2.0
4342,4075974,Carroll,1986,The role of food deprivation in the maintenance and reinstatement of cocaine-seeking behavior in rats.,Drug and alcohol dependence,2.0
4703,21517846,Xu,2011,Glycogen synthase kinase 3β in the nucleus accumbens core is critical for methamphetamine-induced behavioral sensitization.,Journal of neurochemistry,2.0
4343,18043763,Floresco,2008,Dopaminergic regulation of limbic-striatal interplay.,Journal of psychiatry & neuroscience : JPN,2.0
4338,20544343,Suto,2010,"Extracellular fluctuations of dopamine and glutamate in the nucleus accumbens core and shell associated with lever-pressing during cocaine self-administration, extinction, and yoked cocaine administration.",Psychopharmacology,2.0
3362,14745448,Emamian,2004,Convergent evidence for impaired AKT1-GSK3beta signaling in schizophrenia.,Nature genetics,2.0
4707,2930632,Viaud,1989,Dissociation of visual and olfactory conditioning in the neostriatum of rats.,Behavioural brain research,2.0
3361,15282284,O'Brien,2005,Glycogen synthase kinase-3beta haploinsufficiency mimics the behavioral and molecular effects of lithium.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
4708,22363252,Roesch,2012,Impact of size and delay on neural activity in the rat limbic corticostriatal system.,Frontiers in neuroscience,2.0
4336,26002627,Das,2016,Ceftriaxone attenuates ethanol drinking and restores extracellular glutamate concentration through normalization of GLT-1 in nucleus accumbens of male alcohol-preferring rats.,Neuropharmacology,2.0
4220,23381803,McElroy,2013,A placebo-controlled pilot study of the novel opioid receptor antagonist ALKS-33 in binge eating disorder.,The International journal of eating disorders,2.0
3358,21886606,Jope,2011,Glycogen synthase kinase-3 in the etiology and treatment of mood disorders.,Frontiers in molecular neuroscience,2.0
3357,28126496,Crofton,2017,"Glycogen synthase kinase 3 beta alters anxiety-, depression-, and addiction-related behaviors and neuronal activity in the nucleus accumbens shell.",Neuropharmacology,2.0
3356,28473645,Ji,2017,Dopamine Receptors Differentially Control Binge Alcohol Drinking-Mediated Synaptic Plasticity of the Core Nucleus Accumbens Direct and Indirect Pathways.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
3355,11354012,Cadet,2001,Temporal profiling of methamphetamine-induced changes in gene expression in the mouse brain: evidence from cDNA array.,"Synapse (New York, N.Y.)",2.0
4221,23346966,Blasio,2015,Opioid system in the medial prefrontal cortex mediates binge-like eating.,Addiction biology,2.0
4334,10900261,Kimmel,2000,Intra-ventral tegmental area injection of rat cocaine and amphetamine-regulated transcript peptide 55-102 induces locomotor activity and promotes conditioned place preference.,The Journal of pharmacology and experimental therapeutics,2.0
3354,17804423,Hishimoto,2008,Neurexin 3 polymorphisms are associated with alcohol dependence and altered expression of specific isoforms.,Human molecular genetics,2.0
3353,18184812,Mercer,2008,Specific expression of long noncoding RNAs in the mouse brain.,Proceedings of the National Academy of Sciences of the United States of America,2.0
4222,23312563,Newman,2013,Sweetened-fat intake sensitizes gamma-aminobutyric acid-mediated feeding responses elicited from the nucleus accumbens shell.,Biological psychiatry,2.0
3351,18587408,Faghihi,2008,Expression of a noncoding RNA is elevated in Alzheimer's disease and drives rapid feed-forward regulation of beta-secretase.,Nature medicine,2.0
3331,11301031,Ohno-Shosaku,2001,Endogenous cannabinoids mediate retrograde signals from depolarized postsynaptic neurons to presynaptic terminals.,Neuron,2.0
3330,14595399,Piomelli,2003,The molecular logic of endocannabinoid signalling.,Nature reviews. Neuroscience,2.0
3329,15936806,Gardner,2005,Endocannabinoid signaling system and brain reward: emphasis on dopamine.,"Pharmacology, biochemistry, and behavior",2.0
3294,25635459,Jennings,2015,Visualizing hypothalamic network dynamics for appetitive and consummatory behaviors.,Cell,2.0
3289,8801574,Currie,1996,Metergoline potentiates natural feeding and antagonizes the anorectic action of medical hypothalamic 5-hydroxytryptamine.,"Pharmacology, biochemistry, and behavior",2.0
4247,10883798,Dickinson,2000,Dissociation of Pavlovian and instrumental incentive learning under dopamine antagonists.,Behavioral neuroscience,2.0
3290,2943219,Dourish,1986,8-OH-DPAT-induced hyperphagia: its neural basis and possible therapeutic relevance.,Appetite,2.0
3291,2137632,Fletcher,1990,A pharmacological analysis of the eating response induced by 8-OH-DPAT injected into the dorsal raphé nucleus reveals the involvement of a dopaminergic mechanism.,Psychopharmacology,2.0
3292,2093178,Leibowitz,1991,Medial hypothalamic nuclei mediate serotonin's inhibitory effect on feeding behavior.,"Pharmacology, biochemistry, and behavior",2.0
3293,27974611,Prado,2017,"Activation of Glutamatergic Fibers in the Anterior NAc Shell Modulates Reward Activity in the aNAcSh, the Lateral Hypothalamus, and Medial Prefrontal Cortex and Transiently Stops Feeding.",The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
4731,15808356,Garcia,2005,High-frequency stimulation in Parkinson's disease: more or less?,Trends in neurosciences,2.0
4325,20015486,Dowlati,2010,A meta-analysis of cytokines in major depression.,Biological psychiatry,2.0
4730,19490027,Mundt,2009,High-frequency stimulation of the nucleus accumbens core and shell reduces quinpirole-induced compulsive checking in rats.,The European journal of neuroscience,2.0
3296,23164617,Urstadt,2013,Ipsilateral feeding-specific circuits between the nucleus accumbens shell and the lateral hypothalamus: regulation by glutamate and GABA receptor subtypes.,Neuropharmacology,2.0
3298,22418061,Salegio,2013,Axonal transport of adeno-associated viral vectors is serotype-dependent.,Gene therapy,2.0
4245,19904261,Gan,2010,Dissociable cost and benefit encoding of future rewards by mesolimbic dopamine.,Nature neuroscience,2.0
3300,25660505,Mrejeru,2015,A subset of ventral tegmental area dopamine neurons responds to acute ethanol.,Neuroscience,2.0
4321,14689486,Lim,2004,Ventral striatopallidal oxytocin and vasopressin V1a receptors in the monogamous prairie vole (Microtus ochrogaster).,The Journal of comparative neurology,2.0
4732,14745464,Filali,2004,Stimulation-induced inhibition of neuronal firing in human subthalamic nucleus.,Experimental brain research,2.0
3288,9203237,Lee,1997,"CP-94, 253: a selective serotonin1B (5-HT1B) agonist that promotes satiety.",Psychopharmacology,2.0
4319,20053904,Dobi,2010,Glutamatergic and nonglutamatergic neurons of the ventral tegmental area establish local synaptic contacts with dopaminergic and nondopaminergic neurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
4733,11287459,Beurrier,2001,High-frequency stimulation produces a transient blockade of voltage-gated currents in subthalamic neurons.,Journal of neurophysiology,2.0
3285,11888559,Simansky,2002,Parabrachial infusion of D-fenfluramine reduces food intake. Blockade by the 5-HT(1B) antagonist SB-216641.,"Pharmacology, biochemistry, and behavior",2.0
3283,15680183,Acosta,2005,Stimulation of 5-HT1B receptors decreases cocaine- and sucrose-seeking behavior.,"Pharmacology, biochemistry, and behavior",2.0
3282,16005519,Mitchell,2006,5-HT6 receptors: a novel target for cognitive enhancement.,Pharmacology & therapeutics,2.0
3281,17203014,Bonsi,2007,"Endogenous serotonin excites striatal cholinergic interneurons via the activation of 5-HT 2C, 5-HT6, and 5-HT7 serotonin receptors: implications for extrapyramidal side effects of serotonin reuptake inhibitors.",Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,2.0
4734,11069610,Windels,2000,Effects of high frequency stimulation of subthalamic nucleus on extracellular glutamate and GABA in substantia nigra and globus pallidus in the normal rat.,The European journal of neuroscience,2.0
3280,17209663,Halford,2007,Serotonergic drugs : effects on appetite expression and use for the treatment of obesity.,Drugs,2.0
4251,23811073,Waselus,2015,Long-term effects of cocaine experience on neuroplasticity in the nucleus accumbens core of addiction-prone rats.,Neuroscience,2.0
4252,23007862,McLean,2012,"Performing vaginal lavage, crystal violet staining, and vaginal cytological evaluation for mouse estrous cycle staging identification.",Journal of visualized experiments : JoVE,2.0
4735,18298273,Homer,2008,Methamphetamine abuse and impairment of social functioning: a review of the underlying neurophysiological causes and behavioral implications.,Psychological bulletin,2.0
3277,18625457,Upton,2008,5-HT6 receptor antagonists as novel cognitive enhancing agents for Alzheimer's disease.,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,2.0
3275,19211971,Przegaliński,2009,Effects of serotonin (5-HT)(1B) receptor ligands on cocaine-seeking behavior in rats.,Pharmacological reports : PR,2.0
4318,22198308,McGregor,2012,Breaking the loop: oxytocin as a potential treatment for drug addiction.,Hormones and behavior,2.0
4254,12446127,Carlezon,2003,Elevated levels of GluR1 in the midbrain: a trigger for sensitization to drugs of abuse?,Trends in neurosciences,2.0
4240,22712685,Beeler,2012,Taste uncoupled from nutrition fails to sustain the reinforcing properties of food.,The European journal of neuroscience,2.0
4729,23678117,Howe,2013,Prefrontal cholinergic mechanisms instigating shifts from monitoring for cues to cue-guided performance: converging electrochemical and fMRI evidence from rats and humans.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
4239,24647659,Dayan,2015,"Model-based and model-free Pavlovian reward learning: revaluation, revision, and revelation.","Cognitive, affective & behavioral neuroscience",2.0
4723,10082887,Kiyatkin,1999,"Modulation of striatal neuronal activity by glutamate and GABA: iontophoresis in awake, unrestrained rats.",Brain research,2.0
3328,18372102,Fattore,2008,Neurobiological mechanisms of cannabinoid addiction.,Molecular and cellular endocrinology,2.0
3327,24650503,Younts,2014,Endogenous cannabinoid signaling at inhibitory interneurons.,Current opinion in neurobiology,2.0
4721,7931564,Garris,1994,Efflux of dopamine from the synaptic cleft in the nucleus accumbens of the rat brain.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
3325,4476082,Miczek,1975,Intraspecies aggression in rats: effects of d-amphetamine and chlordiazepoxide.,Psychopharmacologia,2.0
3324,5115648,Hunt,1972,Relapse rates in addiction programs.,Journal of clinical psychology,2.0
4324,22508336,Sharma,2013,Diet-induced obesity promotes depressive-like behaviour that is associated with neural adaptations in brain reward circuitry.,International journal of obesity (2005),2.0
3323,10327430,Lawler,1999,Interactions of the novel antipsychotic aripiprazole (OPC-14597) with dopamine and serotonin receptor subtypes.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,2.0
4231,21159975,Giordano,2011,Molecular switch from L-type Ca v 1.3 to Ca v 1.2 Ca2+ channel signaling underlies long-term psychostimulant-induced behavioral and molecular plasticity.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2.0
3321,25538590,Moran,2014,Differences in brain circuitry for appetitive and reactive aggression as revealed by realistic auditory scripts.,Frontiers in behavioral neuroscience,2.0
4722,7526940,Jongen-Rêlo,1994,Immunohistochemical characterization of the shell and core territories of the nucleus accumbens in the rat.,The European journal of neuroscience,2.0
3320,25582886,Caprioli,2016,Persistent palatable food preference in rats with a history of limited and extended access to methamphetamine self-administration.,Addiction biology,2.0
4232,18717814,Perrine,2008,Cocaine regulates protein kinase B and glycogen synthase kinase-3 activity in selective regions of rat brain.,Journal of neurochemistry,2.0
4233,18428670,Hallett,2008,Biochemical fractionation of brain tissue for studies of receptor distribution and trafficking.,Current protocols in neuroscience,2.0
4323,24096214,Patki,2014,"Depression, anxiety-like behavior and memory impairment are associated with increased oxidative stress and inflammation in a rat model of social stress.",Brain research,2.0
4724,2507830,Dragunow,1989,The use of c-fos as a metabolic marker in neuronal pathway tracing.,Journal of neuroscience methods,2.0
4237,25172480,Hart,2015,Dynamic shaping of dopamine signals during probabilistic Pavlovian conditioning.,Neurobiology of learning and memory,2.0
4725,1098086,Pijnenburg,1975,Inhibition of d-amphetamine-induced locomotor activity by injection of haloperidol into the nucleus accumbens of the rat.,Psychopharmacologia,2.0
4726,11830288,Cluderay,2002,Protein distribution of the orexin-2 receptor in the rat central nervous system.,Regulatory peptides,2.0
3316,26117504,Chester,2017,The pleasure of revenge: retaliatory aggression arises from a neural imbalance toward reward.,Social cognitive and affective neuroscience,2.0
4727,11830285,Martin,2002,Interaction of the hypocretins with neurotransmitters in the nucleus accumbens.,Regulatory peptides,2.0
4322,9924746,Kovács,1999,Oxytocin and addiction: a review.,Psychoneuroendocrinology,2.0
3313,29192664,Golden,2018,Aggression Addiction and Relapse: A New Frontier in Psychiatry.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,2.0
3312,29524848,Aleyasin,2019,Neurocircuitry of aggression and aggression seeking behavior: nose poking into brain circuitry controlling aggression.,Current opinion in neurobiology,2.0
